iter	RMSE
0	0.3875545134
1	0.3634559104
2	0.3387147183
3	0.3176232156
4	0.2983602376
5	0.2814535371
6	0.2660683123
7	0.2527127758
8	0.2410278176
9	0.2282076158
10	0.2191917891
11	0.2100175261
12	0.2015034959
13	0.1937092477
14	0.1855228829
15	0.1781721424
16	0.1723483487
17	0.1648703268
18	0.1592959107
19	0.1539508187
20	0.1483137873
21	0.1448951207
22	0.140097246
23	0.1372683328
24	0.1320748786
25	0.1291503
26	0.1264502395
27	0.1241434557
28	0.1202165852
29	0.1175991805
30	0.1149761282
31	0.1129250336
32	0.1095194523
33	0.1073889404
34	0.1060164539
35	0.104999769
36	0.103562891
37	0.1021998754
38	0.1002653603
39	0.09751942421
40	0.09635586354
41	0.09383430333
42	0.09143872714
43	0.08957502523
44	0.08900236398
45	0.08803769706
46	0.08698968936
47	0.08629389351
48	0.08487675041
49	0.08224611792
50	0.08003836924
51	0.07902073488
52	0.07820968472
53	0.07746693103
54	0.07678062633
55	0.07555360235
56	0.07483520804
57	0.07429156673
58	0.07407917057
59	0.07226806954
60	0.07208642296
61	0.07191250216
62	0.07168086967
63	0.07098602861
64	0.07076597428
65	0.07056767555
66	0.06991777717
67	0.06917166244
68	0.06899030276
69	0.06810640304
70	0.06640053765
71	0.06627969715
72	0.06575919976
73	0.065424628
74	0.06529937564
75	0.06409821006
76	0.06258799197
77	0.06246470043
78	0.0615588907
79	0.06081513324
80	0.0605724227
81	0.05917764631
82	0.05854450119
83	0.05780404294
84	0.05765727505
85	0.0575377845
86	0.0562604919
87	0.05616153915
88	0.05608724395
89	0.05598674863
90	0.05591561453
91	0.05574789715
92	0.05557798096
93	0.05549744963
94	0.05417837275
95	0.0535739916
96	0.05352028152
97	0.05346976757
98	0.0533990849
99	0.0533581955
100	0.0528698145
101	0.05152181927
102	0.05140267341
103	0.05128785656
104	0.04998881296
105	0.04988105746
106	0.04929063031
107	0.0492023497
108	0.04917393308
109	0.04793600283
110	0.0474848413
111	0.04745254919
112	0.04628380421
113	0.04517512912
114	0.04413145299
115	0.04317353676
116	0.04259888885
117	0.04126715302
118	0.04038898972
119	0.03971151289
120	0.03882986129
121	0.03836284427
122	0.03769886237
123	0.03696420746
124	0.03627485105
125	0.03561698948
126	0.03513296981
127	0.03434928182
128	0.03387462798
129	0.03308748571
130	0.03260181184
131	0.03224398864
132	0.0315896295
133	0.03118707696
134	0.03071335014
135	0.03016611486
136	0.02984445118
137	0.0294227094
138	0.02909537197
139	0.02866179677
140	0.02854837423
141	0.02799606645
142	0.02751203143
143	0.02720873912
144	0.02705684651
145	0.02662444914
146	0.02623148415
147	0.0258581748
148	0.02572735253
149	0.02547449725
150	0.02517234417
151	0.02485224999
152	0.02452552843
153	0.02439780476
154	0.02411224194
155	0.02385519594
156	0.02374397093
157	0.02346679815
158	0.02320849656
159	0.02292574152
160	0.02267283526
161	0.02243083914
162	0.02221697162
163	0.02193211469
164	0.02171765154
165	0.02161429743
166	0.02153168397
167	0.02147366058
168	0.021273158
